DAY,BTC,ETC,EOS
496,5088,12456748,2392317860
497,5109,12500524,2397924781
498,5129,12546345,2403120994
499,5164,12605746,2408627160
500,5220,12654797,2414767388
501,5262,12701562,2420890377
502,5297,12753569,2425420208
503,5355,12799489,2429789439
504,5387,12841944,2434369196
505,5485,12887781,2438807273
506,5546,12942367,2443923466
507,5591,12994051,2448882114
508,5655,13039594,2455548534
509,5730,13091447,2461411977
510,5783,13145257,2469542484
511,5843,13189369,2480138629
512,5895,13241935,2488445091
513,5942,13293951,2493530397
514,5990,13345980,2498180665
515,6037,13400466,2503033712
516,6123,13447151,2507162682
517,6167,13499056,2511536924
518,6217,13549634,2515823237
519,6267,13593415,2519871715
520,6318,13638136,2523639160
521,6380,13681522,2527650286
522,6431,13721097,2531948342
523,6490,13769447,2536234446
524,6570,13813679,2540535160
525,6648,13853794,2544819459
526,6720,13895167,2548965572
527,6808,13957506,2552904542
528,6897,14007984,2556874872
529,6945,14057702,2560643002
530,7002,14132693,2564355569
531,7044,14198453,2568092031
532,7111,14258321,2571859753
533,7151,14320714,2575420324
534,7242,14383870,2579069559
535,7315,14451673,2582666389
536,7382,14505337,2586341571
537,7455,14565096,2589989198
538,7512,14613347,2593613020
539,7556,14669354,2597054022
540,7614,14720251,2600115193
541,7689,14765846,2602815971
542,7787,14809270,2605059790
543,7874,14855441,2607318334
544,7950,14907510,2609441200
545,8030,14957092,2611533594
546,8096,14995759,2613714790
547,8154,15047894,2615853332
548,8225,15096495,2618006101
549,8265,15139024,2620169592
550,8331,15187591,2622228025
551,8399,15233685,2624362877
552,8467,15272894,2626463106
553,8509,15313875,2628538289
554,8747,15358998,2630706082
555,10328,15403890,2632921201
556,11124,15450965,2635275049
557,16672,15499862,2637649944
558,17383,15550766,2639944858
559,18058,15587000,2642217207
560,18306,15621721,2644522808
561,18554,15658397,2646658456
562,18888,15694527,2648789594
563,19311,15729066,2650873702
564,19558,15765394,2652932704
565,19779,15816960,2655096514
566,19999,15857659,2657180168
567,20699,15898157,2659310971
568,22290,15940513,2661384428
569,22517,16001432,2663469231
570,22776,16057555,2665551134
571,25636,16106244,2667713929
572,26255,16153240,2669899870
573,26396,16208635,2671972131
574,26490,16258474,2674063982
575,26614,16308226,2676132683
576,26769,16365823,2678282961
577,27193,16416446,2680540814
578,27386,16462073,2682753209
579,27687,16512044,2684977346
580,27900,16559881,2687183066
581,28013,16613952,2689274358
582,28204,16665673,2691249659
583,28439,16724573,2693102323
584,28590,16778122,2694944489
585,28774,16841089,2696747195
586,28994,16900506,2698387140
587,29241,16974697,2699931879
588,29397,17063307,2701448588
589,29527,17165240,2702897755
590,29825,17214766,2704416127
591,30013,17261200,2705873204
592,30244,17304162,2707201126
593,30434,17349407,2708626344
594,30664,17392243,2710052660
595,30832,17431746,2711608143
596,30985,17468241,2713083534
597,31142,17512049,2714720593
598,31308,17559257,2716329014
599,31457,17602174,2717810298
600,31615,17640337,2719498793
601,31736,17678573,2721065467
602,31906,17715536,2722606934
603,32017,17759281,2724207154
604,32192,17801733,2725768340
605,32446,17842893,2727475803
606,32681,17882727,2729179510
607,32827,17933053,2730968309
608,32982,17971725,2732587839
609,33078,18008280,2734134729
610,33221,18051274,2735672061
611,33346,18088376,2737253544
612,33466,18124754,2738888670
613,33640,18167533,2740447814
614,33844,18203496,2742115838
615,34015,18238308,2743924515
616,34156,18272629,2745619574
617,34355,18308926,2747416631
618,34622,18348798,2749153139
619,34849,18385067,2750834636
620,35110,18424426,2752581896
621,35321,18458758,2754365905
622,35476,18493131,2756161902
623,35641,18528412,2757914519
624,35790,18564044,2759676292
625,36065,18598578,2761440675
626,36696,18638651,2763269467
627,37216,18675395,2765172467
628,37615,18711161,2766973820
629,37883,18744559,2768891248
630,38215,18778890,2770836396
631,38421,18815012,2772684999
632,38771,18849961,2774529567
633,39055,18885141,2776496060
634,39867,18921455,2778444938
635,40082,18956394,2780767162
636,40527,18992540,2782907876
637,40931,19027423,2785108999
638,41166,19065796,2787294800
639,41424,19117259,2789552329
640,41668,19154927,2791672423
641,41899,19191653,2793766899
642,42083,19226853,2795885597
643,42290,19259374,2798081381
644,42535,19292440,2800380472
645,42721,19328123,2802603477
646,42905,19360749,2804897690
647,43100,19396203,2807250984
648,43287,19429978,2809723444
649,43446,19460463,2812392570
650,43598,19489000,2814946818
651,43783,19525718,2817582909
652,43969,19560199,2820336168
653,44297,19590056,2823182063
654,44968,19629289,2825990671
655,45443,19660763,2828694165
656,45793,19694923,2831451444
657,46232,19724523,2834306654
658,46573,19757160,2837064287
659,46917,19789553,2839844315
660,47126,19825797,2842602028
661,47406,19862326,2845492731
662,47759,19895945,2848252780
663,48035,19926673,2850966929
664,48269,19954514,2853750579
665,48443,19980041,2856496292
666,48572,20008203,2859161158
667,48752,20038588,2861746340
668,48853,20068143,2864370498
669,49010,20097725,2867034914
670,49167,20123542,2869677548
671,49388,20147154,2872388296
672,49553,20170554,2875072485
673,49763,20196856,2877720219
674,50004,20223107,2880427782
675,50197,20253435,2883129437
676,50393,20283291,2885856288
677,50565,20313376,2888704671
678,50682,20344588,2891420745
679,50800,20387218,2894032516
680,50964,20423054,2896679802
681,56421,20457598,2899256933
682,64542,20493765,2902054213
683,64728,20530725,2905155789
684,66574,20567698,2908219727
685,75887,20604196,2911197185
686,85114,20642948,2914239656
687,94971,20682581,2917346565
688,95170,20739037,2920442458
689,95354,20781882,2923620061
690,99198,20821821,2926827178
691,103943,20860466,2930092685
692,105032,20898665,2933375472
693,105297,20939156,2936599158
694,105578,20979637,2939956921
695,105825,21023884,2943251672
696,106086,21073615,2946525169
697,106410,21127302,2949921754
698,106669,21180126,2953208934
699,106867,21228686,2956583123
700,107057,21272431,2959933138
701,107249,21322921,2963376211
702,107477,21370233,2966672363
703,107807,21422673,2970166853
704,108089,21469233,2973777183
705,108362,21515426,2977318280
706,108591,21560113,2980826558
707,108958,21605271,2984282003
708,109440,21651005,2987654018
709,109950,21697288,2991038321
710,110420,21744780,2994403367
711,110863,21790872,2997827119
712,111221,21838705,3001372700
713,111515,21884522,3004972308
714,111863,21930043,3008635772
715,112234,21977344,3012215104
716,113003,22025550,3015696095
717,113436,22072072,3019182989
718,113952,22117763,3022654220
719,114314,22165898,3026181534
720,114693,22211496,3029621997
721,115158,22258164,3033104545
722,115597,22315870,3036372402
723,115975,22366607,3039804020
724,116448,22414542,3043342933
725,116831,22460091,3046797690
726,117227,22513138,3050335303
727,117609,22560141,3053980323
728,118082,22602269,3057394633
729,118500,22646732,3061020047
730,119497,22690500,3064582323
731,120339,22735111,3068192727
732,121500,22779030,3071702606
733,122019,22821146,3075349480
734,122906,22863049,3079257692
735,124125,22948636,3083124785
736,125190,22994403,3086850121
737,126357,23040677,3090601780
738,127545,23094093,3094381259
739,128533,23141089,3098101292
740,129635,23191654,3102018644
741,130715,23239110,3106550080
742,131514,23304670,3111635991
743,132245,23360097,3116539978
744,132900,23420812,3120820999
745,133608,23470476,3125256675
746,134338,23519586,3129797368
747,135087,23566754,3134167012
748,136063,23612710,3138585309
749,137319,23655361,3142987735
750,138233,23699698,3147468738
751,139389,23748605,3151725660
752,140103,23795770,3156117342
753,140930,23845250,3160326299
754,141613,23897184,3164467602
755,142574,23944973,3168546914
756,143730,23988767,3172551460
757,146342,24036986,3176722858
758,147397,24082894,3180842733
759,148251,24133321,3184470179
760,148978,24178838,3188727840
761,149619,24224219,3192765088
762,150333,24269039,3196773851
763,151030,24312091,3200876681
764,151714,24357212,3204877825
765,152399,24406957,3209208518
766,153110,24452005,3213425241
767,154164,24494773,3217732621
768,156016,24547666,3222076753
769,158179,24591784,3226301150
770,159914,24634951,3230575785
771,161519,24680983,3234185916
772,163343,24726495,3237599553
773,165299,24771498,3240958701
774,167171,24814124,3244391977
775,169213,24855999,3247714902
776,171028,24896808,3251049710
777,172464,24936998,3254395932
778,174217,24979084,3257433717
779,176021,25024809,3260680761
780,177965,25073047,3264221613
781,180007,25117466,3267693799
782,181893,25160491,3271043597
783,183740,25205024,3274315637
784,185379,25258937,3277290325
785,187437,25314993,3280489177
786,188986,25368703,3283985311
787,191683,25426233,3287755154
788,193441,25477607,3291409208
789,196452,25530861,3295023164
790,198219,25576305,3298503268
791,199957,25619018,3301915720
792,201732,25662466,3305384156
793,203451,25706231,3309034783
794,205721,25749739,3312708968
795,207374,25793096,3316422420
796,208970,25835670,3320050528
797,210688,25878859,3323852462
798,213560,25921801,3327665659
799,216109,25972069,3331238086
800,218652,26014971,3334828367
801,221377,26058687,3338489903
802,224579,26100528,3342514342
803,227652,26141770,3346760845
804,230283,26184117,3351150626
805,233184,26226879,3355849420
